,name,price,status,date,images
23,['2019 PRIZM GRANT WILLIAMS SILVER'],['$20'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/GWWKPZO_1610565557_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/GWWKPZO_1610565557_back.jpeg']"
24,['2019 HOOPS JA MORANT'],['$35'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/KPHCUMW_1610565308_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/KPHCUMW_1610565308_back.jpeg']"
25,['2019 HOOPS JA MORANT'],['$35'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/KGGZPRS_1610565237_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/KGGZPRS_1610565237_back.jpeg']"
26,['2019 HOOPS JA MORANT'],['$35'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/SGLHJAO_1610565138_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/SGLHJAO_1610565138_back.jpeg']"
27,['2019 SELECT ZION WILLIAMSON #1'],['$100'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/VSDPOLN_1610564960_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/VSDPOLN_1610564960_back.jpeg']"
28,['2019 SELECT LUKA DONCIC DIE CUT BLUE'],['$200'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/ROCIVDZ_1610564716_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/ROCIVDZ_1610564716_back.jpeg']"
29,['2019 SELECT DeANDRE HUNTER #40'],['$15'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/XANXVZG_1610564670_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/XANXVZG_1610564670_back.jpeg']"
30,['2019 SELECT DeANDRE HUNTER #40'],['$15'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/DOCRYXJ_1610564623_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/DOCRYXJ_1610564623_back.jpeg']"
31,['2019 SELECT DeANDRE HUNTER #136'],['$40'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/OMEXKRP_1610564559_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/OMEXKRP_1610564559_back.jpeg']"
32,['2019 SELECT COBY WHITE #48'],['$20'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/NAKBWXG_1610564464_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/NAKBWXG_1610564464_back.jpeg']"
33,['2019 SELECT COBY WHITE #48'],['$20'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/SSGRLXR_1610564419_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/SSGRLXR_1610564419_back.jpeg']"
34,['2019 SELECT COBY WHITE #194'],['$45'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/NSSMPYH_1610564267_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/NSSMPYH_1610564267_back.jpeg']"
35,['2019 SELECT RJ BARRETT'],['$50'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/KXAVYNS_1610564223_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/KXAVYNS_1610564223_back.jpeg']"
